Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.1035	0.0039	1.0249	0.0	0.0	0.0	0.242	-5.768	-94.708	38.49	-419	-31	-209	113.516274	22.451981	271.18	19.557	0.67661	-0.03555	-0.03568	-0.73459
 None	0.1035	0.0039	1.0249	0.0	0.0	0.0	0.242	-5.768	-94.708	38.49	-419	-31	-209	113.516274	22.451981	271.18	19.557	0.67661	-0.03555	-0.03568	-0.73459
 None	0.1035	0.0039	1.0249	0.0	0.0	0.0	0.242	-5.768	-94.708	38.49	-419	-31	-209	113.516274	22.451981	271.18	19.557	0.67661	-0.03555	-0.03568	-0.73459
 None	0.1035	0.0039	1.0249	0.0	0.0	0.0	0.242	-5.768	-94.708	38.49	-419	-31	-209	113.516274	22.451981	271.18	19.557	0.67667	-0.03555	-0.03568	-0.73453
 None	0.103	0.0039	1.0244	0.0	0.0	0.0	0.242	-5.768	-94.702	38.48	-415	-35	-206	113.516274	22.451981	271.18	19.557	0.67667	-0.03555	-0.03568	-0.73453
 None	0.103	0.0039	1.0244	0.0	0.0	0.0	0.242	-5.768	-94.702	38.48	-415	-35	-206	113.516274	22.451981	271.18	19.557	0.67667	-0.03555	-0.03568	-0.73453
 None	0.103	0.0039	1.0244	0.0	0.0	0.0	0.242	-5.768	-94.702	38.48	-415	-35	-206	113.516274	22.451981	271.18	19.557	0.67667	-0.03555	-0.03568	-0.73453
 None	0.103	0.0039	1.0244	0.0	0.0	0.0	0.242	-5.768	-94.702	38.48	-415	-35	-206	113.516274	22.451981	271.18	19.557	0.6767	-0.03555	-0.03568	-0.73453
 None	0.1035	0.0044	1.0244	0.0	0.0	0.0	0.242	-5.768	-94.713	38.47	-414	-33	-207	113.516274	22.451981	271.18	19.557	0.6767	-0.03555	-0.03568	-0.73453
 None	0.1035	0.0044	1.0244	0.0	0.0	0.0	0.242	-5.768	-94.713	38.47	-414	-33	-207	113.516274	22.451981	271.18	19.557	0.6767	-0.03555	-0.03568	-0.73453
 None	0.1035	0.0044	1.0244	0.0	0.0	0.0	0.242	-5.768	-94.713	38.47	-414	-33	-207	113.516274	22.451981	271.18	19.557	0.6767	-0.03555	-0.03568	-0.73453
