Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.104	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.785	39.0	-418	-32	-208	113.51747	22.4542999	92.01	18.668	0.67603	-0.03586	-0.03568	-0.73511
 None	0.104	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.785	39.0	-418	-32	-208	113.51747	22.4542999	92.01	18.668	0.67603	-0.03586	-0.03568	-0.73511
 None	0.104	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.785	39.0	-418	-32	-208	113.51747	22.4542999	92.01	18.668	0.67615	-0.03586	-0.03568	-0.73502
 None	0.104	0.0044	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.785	38.99	-413	-32	-207	113.51747	22.4542999	92.01	18.668	0.67615	-0.03586	-0.03568	-0.73502
 None	0.104	0.0044	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.785	38.99	-413	-32	-207	113.51747	22.4542999	92.01	18.668	0.67615	-0.03586	-0.03568	-0.73502
 None	0.104	0.0044	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.785	38.99	-413	-32	-207	113.51747	22.4542999	92.01	18.668	0.67615	-0.03586	-0.03568	-0.73502
 None	0.104	0.0044	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.785	38.99	-413	-32	-207	113.51747	22.4542999	92.01	18.668	0.67615	-0.03583	-0.03568	-0.73499
 None	0.104	0.0039	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.774	39.02	-413	-34	-210	113.51747	22.4542999	92.01	18.668	0.67615	-0.03583	-0.03568	-0.73499
 None	0.104	0.0039	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.774	39.02	-413	-34	-210	113.51747	22.4542999	92.01	18.668	0.67615	-0.03583	-0.03568	-0.73499
 None	0.104	0.0039	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.774	39.02	-413	-34	-210	113.51747	22.4542999	92.01	18.668	0.67615	-0.03583	-0.03568	-0.73499
 None	0.104	0.0039	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.774	39.02	-413	-34	-210	113.51747	22.4542999	92.01	18.668	0.67624	-0.03583	-0.03568	-0.73492
 None	0.1035	0.0044	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.763	39.01	-416	-31	-208	113.51747	22.4542999	92.01	18.668	0.67624	-0.03583	-0.03568	-0.73492
 None	0.1035	0.0044	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.763	39.01	-416	-31	-208	113.51747	22.4542999	92.01	18.668	0.67624	-0.03583	-0.03568	-0.73492
 None	0.1035	0.0044	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.763	39.01	-416	-31	-208	113.51747	22.4542999	92.01	18.668	0.67624	-0.03583	-0.03568	-0.73492
 None	0.1035	0.0044	1.0244	0.0	0.0	0.0	0.225	-5.79	-94.763	39.01	-416	-31	-208	113.51747	22.4542999	92.01	18.668	0.67627	-0.03583	-0.03568	-0.73486
 None	0.104	0.0044	1.0249	0.0	0.0	0.0	0.225	-5.79	-94.746	39.05	-416	-33	-207	113.51747	22.4542999	92.01	18.668	0.67627	-0.03583	-0.03568	-0.73486
 None	0.104	0.0044	1.0249	0.0	0.0	0.0	0.225	-5.79	-94.746	39.05	-416	-33	-207	113.51747	22.4542999	92.01	18.668	0.67627	-0.03583	-0.03568	-0.73486
 None	0.104	0.0044	1.0249	0.0	0.0	0.0	0.225	-5.79	-94.746	39.05	-416	-33	-207	113.51747	22.4542999	92.01	18.668	0.67627	-0.03583	-0.03568	-0.73486
 None	0.104	0.0044	1.0249	0.0	0.0	0.0	0.225	-5.79	-94.746	39.05	-416	-33	-207	113.51747	22.4542999	92.01	18.668	0.67642	-0.0358	-0.03568	-0.73474
 None	0.1045	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.79	-94.752	39.01	-417	-33	-206	113.51747	22.4542999	92.01	18.668	0.67642	-0.0358	-0.03568	-0.73474
 None	0.1045	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.79	-94.752	39.01	-417	-33	-206	113.51747	22.4542999	92.01	18.668	0.67642	-0.0358	-0.03568	-0.73474
 None	0.1045	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.79	-94.752	39.01	-417	-33	-206	113.51747	22.4542999	92.01	18.668	0.67642	-0.0358	-0.03568	-0.73474
 None	0.1045	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.79	-94.752	39.01	-417	-33	-206	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.795	-94.752	39.01	-417	-33	-207	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.795	-94.752	39.01	-417	-33	-207	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.795	-94.752	39.01	-417	-33	-207	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0259	0.0	0.0	0.0	0.225	-5.795	-94.752	39.01	-417	-33	-207	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	38.98	-413	-32	-209	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	38.98	-413	-32	-209	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	38.98	-413	-32	-209	113.51747	22.4542999	92.01	18.668	0.67636	-0.03583	-0.03571	-0.7348
 None	0.104	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	38.98	-413	-32	-209	113.51747	22.4542999	92.01	18.668	0.67639	-0.03583	-0.03568	-0.73477
 None	0.1035	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	39.01	-416	-35	-207	113.51747	22.4542999	92.01	18.668	0.67639	-0.03583	-0.03568	-0.73477
 None	0.1035	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	39.01	-416	-35	-207	113.517503	22.454299	92.01	18.668	0.67639	-0.03583	-0.03568	-0.73477
 None	0.1035	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	39.01	-416	-35	-207	113.517503	22.454299	91.43	19.408	0.67639	-0.03583	-0.03568	-0.73477
 None	0.1035	0.0039	1.0254	0.0	0.0	0.0	0.225	-5.79	-94.746	39.01	-416	-35	-207	113.517503	22.454299	91.43	19.408	0.67639	-0.03583	-0.03568	-0.73477
