Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.1045	0.0034	1.0249	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-416	-33	-206	114.37889867	23.21554667	4.49	0.0	0.67691	-0.03635	-0.03534	-0.73428
 None	0.1045	0.0034	1.0249	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-416	-33	-206	114.37889867	23.21554667	4.49	0.0	0.67691	-0.03635	-0.03534	-0.73428
 None	0.1045	0.0034	1.0249	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-416	-33	-206	114.37889867	23.21554667	4.49	0.0	0.67691	-0.03635	-0.03534	-0.73428
 None	0.1045	0.0034	1.0249	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-416	-33	-206	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03635	-0.03534	-0.73425
 None	0.1045	0.0029	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-415	-34	-207	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03635	-0.03534	-0.73425
 None	0.1045	0.0029	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-415	-34	-207	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03635	-0.03534	-0.73425
 None	0.1045	0.0029	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-415	-34	-207	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03635	-0.03534	-0.73425
 None	0.1045	0.0029	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.658	38.24	-415	-34	-207	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03632	-0.03537	-0.73425
 None	0.1045	0.0024	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.664	38.24	-415	-31	-208	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03632	-0.03537	-0.73425
 None	0.1045	0.0024	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.664	38.24	-415	-31	-208	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03632	-0.03537	-0.73425
 None	0.1045	0.0024	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.664	38.24	-415	-31	-208	114.37889867	23.21554667	4.49	0.0	0.67694	-0.03632	-0.03537	-0.73425
 None	0.1045	0.0024	1.0259	0.0	0.0	0.0	0.154	-5.812	-94.664	38.24	-415	-31	-208	114.37889867	23.21554667	4.49	0.0	0.67691	-0.03632	-0.03537	-0.73428
 None	0.104	0.0029	1.0254	0.0	0.0	0.0	0.154	-5.806	-94.669	38.25	-417	-33	-205	114.37889867	23.21554667	4.49	0.0	0.67691	-0.03632	-0.03537	-0.73428
 None	0.104	0.0029	1.0254	0.0	0.0	0.0	0.154	-5.806	-94.669	38.25	-417	-33	-205	114.37889867	23.21554667	4.49	0.0	0.67691	-0.03632	-0.03537	-0.73428
